"Hôtellerie: arrivées et nuitées des établissements ouverts selon l'année, le mois, la région touristique et la provenance des hôtes"

"Année";"Mois";"Région touristique";"Suisse Nuitées";"Pays baltes Nuitées";"Allemagne Nuitées";"France Nuitées";"Italie Nuitées";"Autriche Nuitées";"Royaume-Uni Nuitées";"Irlande (Eire) Nuitées";"Pays-Bas Nuitées";"Belgique Nuitées";"Luxembourg Nuitées";"Danemark Nuitées";"Suède Nuitées";"Norvège Nuitées";"Finlande Nuitées";"Espagne Nuitées";"Portugal Nuitées";"Grèce Nuitées";"Turquie Nuitées";"Autres Europe Nuitées";"Liechtenstein Nuitées";"Islande Nuitées";"Pologne Nuitées";"Hongrie Nuitées";"Biélorussie Nuitées";"Bulgarie Nuitées";"Malte Nuitées";"Chypre Nuitées";"Chili Nuitées";"Etats-Unis d'Amérique Nuitées";"Canada Nuitées";"Mexique Nuitées";"Brésil Nuitées";"Argentine Nuitées";"Amérique Centrale, Caraïbes Nuitées";"Autres Amérique du Sud Nuitées";"Autres Amérique centrale, Caraïbes Nuitées";"Egypte Nuitées";"Autres Afrique du Nord Nuitées";"Afrique du Sud Nuitées";"Autres Afrique Nuitées";"Bahreïn Nuitées";"Israël Nuitées";"Inde Nuitées";"Japon Nuitées";"Autres Asie de l'Est Nuitées";"Qatar Nuitées";"Koweït Nuitées";"Australie Nuitées";"Australie, N.Zélande, Océanie Nuitées";"Chine (sans Hongkong) Nuitées";"Pays du Golfe Nuitées";"Hongkong Nuitées";"Indonésie Nuitées";"République de Corée Nuitées";"Malaisie Nuitées";"Philippines Nuitées";"Nouvelle Zélande, Océanie Nuitées";"Singapour Nuitées";"Oman Nuitées";"Chine (Taiwan) Nuitées";"Thaïlande Nuitées";"Autres Asie de l'Ouest Nuitées";"Estonie Nuitées";"Lettonie Nuitées";"Lituanie Nuitées";"Arabie Saoudite Nuitées";"Emirats Arabes Unis Nuitées";"Serbie et Monténégro Nuitées";"Croatie Nuitées";"Roumanie Nuitées";"Russie Nuitées";"Slovaquie Nuitées";"Slovénie Nuitées";"République tchèque Nuitées";"Ukraine Nuitées";"Serbie Nuitées"
"2005";"Novembre";"Suisse";745936;2284;203573;65793;50175;20220;80207;5176;20972;14954;2438;5730;9081;3506;3992;20237;5325;5423;7118;11789;1357;799;5590;4218;542;2381;...;...;554;73028;10667;...;7551;1644;5919;3164;...;2603;5700;3769;7562;...;6705;10573;15437;6818;...;...;...;8095;12423;8483;2887;2569;7166;3338;1101;...;4339;...;3952;3121;3248;...;...;...;...;...;2068;1917;3572;17544;1990;1428;3868;3397;...
"2005";"Décembre";"Suisse";925912;2252;354687;91569;83988;17067;159276;6273;50883;44472;9347;5020;8605;3164;4299;27340;6065;16476;3896;11499;1482;820;5467;2904;504;2060;...;...;433;76150;9552;...;7344;1106;5503;3388;...;1967;6012;6501;6481;...;8657;8571;14294;5691;...;...;...;14656;11460;8042;3321;2003;5980;3019;680;...;5947;...;3208;3719;3818;...;...;...;...;...;2312;1973;3732;24681;1822;1374;3656;3566;...
"2006";"Janvier";"Suisse";1242728;2978;478246;90025;98574;23666;188256;7676;73139;76514;15016;9607;16448;6511;5586;24011;5633;12280;15312;14383;1679;1021;7510;3884;1016;2040;...;...;623;85439;13096;...;10407;1636;4468;2945;...;2581;5094;7560;6330;...;10983;7370;14990;5556;...;...;...;17937;7776;11377;3211;1142;7638;1957;613;...;2168;...;2549;2585;4193;...;...;...;...;...;2137;3083;4932;67449;2142;1869;4255;6669;...
"2006";"Février";"Suisse";1388179;3618;485262;178262;84998;25191;266681;8752;134219;88502;19850;14855;28434;12915;8538;23857;7382;5534;4719;19259;2133;1138;10939;5063;912;2294;...;...;722;90776;13030;...;9018;2203;5608;3525;...;1675;5076;5239;7460;...;8985;7298;17852;5626;...;...;...;10371;10642;11343;3172;933;6789;1644;624;...;2354;...;2404;4800;3707;...;...;...;...;...;2026;2553;4575;25083;1980;1618;6185;3382;...
"2006";"Mars";"Suisse";1376677;3219;600388;116480;99629;32164;214965;7691;91733;83552;16853;11552;31235;11172;7906;28242;9804;8987;6630;21242;2753;833;9856;5261;1132;3047;...;...;674;124535;21164;...;8438;2257;7328;3692;...;2694;6766;7728;8733;...;13069;10069;24354;6470;...;...;...;11054;9980;9953;5098;1736;6447;2940;998;...;3659;...;4024;6515;4651;...;...;...;...;...;2299;2190;4906;35455;2576;1897;6811;4335;...
"2006";"Avril";"Suisse";1028097;3036;459049;87644;75544;28107;160608;5644;33159;77216;7544;7093;14831;6526;5757;31625;8883;7868;4873;16591;1791;800;7596;4556;715;3113;...;...;616;100888;14320;...;9033;2288;8337;3481;...;2526;5669;5544;8374;...;11924;23051;26157;7212;...;...;...;12231;18438;11660;6893;2130;10834;3764;1044;...;4148;...;4136;13634;5113;...;...;...;...;...;2073;1732;4056;21458;2498;1522;4061;2901;...
"2006";"Mai";"Suisse";998946;2736;392032;78193;54884;26773;132038;6195;46153;21579;5015;9186;12581;4823;5703;25257;7349;7201;6698;19388;1898;1233;7988;4806;682;3269;...;...;1059;152962;19810;...;14034;3205;10132;4547;...;2666;7691;7036;9637;...;8453;63856;40399;10139;...;...;...;18191;19436;14021;4494;1984;12803;3778;1159;...;4737;...;6274;9583;5505;...;...;...;...;...;2438;2498;5327;20533;2143;1650;5676;3817;...
"2006";"Juin";"Suisse";1275639;3367;505641;90369;73029;33810;210031;7215;69499;50022;8991;10262;12671;6258;7181;30200;7344;6794;5689;20453;2108;1528;6902;6760;835;2534;...;...;1105;216635;19915;...;11743;3713;12956;6122;...;3084;7145;6584;12267;...;10388;51080;89307;10069;...;...;...;24358;23699;17815;4877;2556;11103;4481;1221;...;6059;...;7206;5086;5728;...;...;...;...;...;2200;2455;5238;19389;1880;1646;7705;4103;...
"2006";"Juillet";"Suisse";1709245;4656;561254;124030;100510;36549;235084;8130;118409;127090;8620;18560;15592;11406;9845;43008;8254;10940;5003;22103;2910;1462;8359;8212;1158;4404;...;...;1160;235905;21354;...;12945;2529;11960;5434;...;4232;6410;6490;7743;...;23715;35451;149474;11633;...;...;...;22638;21649;64588;5763;2398;22991;2928;974;...;3562;...;7817;3382;8152;...;...;...;...;...;2214;2051;7098;23171;2408;1451;9177;4230;...
"2006";"Août";"Suisse";1570601;5886;673836;157676;176801;42523;245973;8008;111422;113897;13609;11164;10557;6051;4412;70372;8385;14700;4582;30540;2353;1875;9838;8915;1065;2860;...;...;936;170949;18060;...;9808;3119;8354;4859;...;4408;7499;6081;7758;...;34354;27902;97961;9178;...;...;...;19270;21921;105287;4879;1443;19237;1971;774;...;3199;...;7326;2938;8726;...;...;...;...;...;2042;2097;8153;24401;2801;1973;9317;3729;...
